Wikidata ID,nLab,nLab link
Q261652,Alg,https://ncatlab.org/nlab/show/Alg
Q3968,algebra,https://ncatlab.org/nlab/show/algebra
Q1166643,algebra extension,https://ncatlab.org/nlab/show/algebra+extension
Q1386213,algebra for an endofunctor,https://ncatlab.org/nlab/show/algebra+for+an+endofunctor
Q1630568,algebra over a monad,https://ncatlab.org/nlab/show/algebra+over+a+monad
Q16827071,algebra over an operad,https://ncatlab.org/nlab/show/algebra+over+an+operad
Q4723988,algebraic analysis,https://ncatlab.org/nlab/show/algebraic+analysis
Q3502010,algebraic category,https://ncatlab.org/nlab/show/algebraic+category
Q4723991,algebraic cobordism,https://ncatlab.org/nlab/show/algebraic+cobordism
Q266237,algebraic curve,https://ncatlab.org/nlab/show/algebraic+curve
Q4723996,algebraic cycle,https://ncatlab.org/nlab/show/algebraic+cycle
Q264224,algebraic dynamics,https://ncatlab.org/nlab/show/algebraic+dynamics
Q2497866,algebraic effect,https://ncatlab.org/nlab/show/algebraic+effect
Q162608,algebraic element,https://ncatlab.org/nlab/show/algebraic+element
Q50698,algebraic equation,https://ncatlab.org/nlab/show/algebraic+equation
Q550791,algebraic extension,https://ncatlab.org/nlab/show/algebraic+extension
Q746863,algebraic function,https://ncatlab.org/nlab/show/algebraic+function
Q288764,algebraic fundamental group,https://ncatlab.org/nlab/show/algebraic+fundamental+group
Q180969,algebraic geometry,https://ncatlab.org/nlab/show/algebraic+geometry
Q1695400,algebraic group,https://ncatlab.org/nlab/show/algebraic+group
Q130349201,algebraic homotopy,https://ncatlab.org/nlab/show/algebraic+homotopy
Q646245,algebraic integer,https://ncatlab.org/nlab/show/algebraic+integer
Q2553675,algebraic K-theory,https://ncatlab.org/nlab/show/algebraic+K-theory
Q5155306,algebraic lattice,https://ncatlab.org/nlab/show/algebraic+lattice
Q168817,algebraic number,https://ncatlab.org/nlab/show/algebraic+number
Q613048,algebraic number theory,https://ncatlab.org/nlab/show/algebraic+number+theory
Q4724016,algebraic space,https://ncatlab.org/nlab/show/algebraic+space
Q1687845,algebraic stack,https://ncatlab.org/nlab/show/algebraic+stack
Q205464,algebraic structure,https://ncatlab.org/nlab/show/algebraic+structure
Q1434805,algebraic surface,https://ncatlab.org/nlab/show/algebraic+surface
Q4724020,algebraic theory,https://ncatlab.org/nlab/show/algebraic+theory
Q212803,algebraic topology,https://ncatlab.org/nlab/show/algebraic+topology
Q648995,algebraic variety,https://ncatlab.org/nlab/show/algebraic+variety
