Wikidata ID,Context
[Q6505076](https://www.wikidata.org/wiki/Q6505076),[Lawvere theory](https://mathgloss.github.io/MathGloss/context/Lawvere_theory)
[Q1137726](https://www.wikidata.org/wiki/Q1137726),[directed graph](https://mathgloss.github.io/MathGloss/context/directed_graph)
[Q33456](https://www.wikidata.org/wiki/Q33456),[powers](https://mathgloss.github.io/MathGloss/context/powers)
[Q6101219](https://www.wikidata.org/wiki/Q6101219),[reflective subcategory](https://mathgloss.github.io/MathGloss/context/reflective_subcategory)
[Q1948412](https://www.wikidata.org/wiki/Q1948412),[maps](https://mathgloss.github.io/MathGloss/context/maps)
[Q2156511](https://www.wikidata.org/wiki/Q2156511),[cokernel](https://mathgloss.github.io/MathGloss/context/cokernel)
[Q1945067](https://www.wikidata.org/wiki/Q1945067),[mono](https://mathgloss.github.io/MathGloss/context/mono)
[Q17104639](https://www.wikidata.org/wiki/Q17104639),[weak homotopy equivalences](https://mathgloss.github.io/MathGloss/context/weak_homotopy_equivalences)
[Q522216](https://www.wikidata.org/wiki/Q522216),[commutator subgroup](https://mathgloss.github.io/MathGloss/context/commutator_subgroup)
[Q2297777](https://www.wikidata.org/wiki/Q2297777),[dual basis](https://mathgloss.github.io/MathGloss/context/dual_basis)
[Q1756942](https://www.wikidata.org/wiki/Q1756942),[partial function](https://mathgloss.github.io/MathGloss/context/partial_function)
[Q23808682](https://www.wikidata.org/wiki/Q23808682),[conservative](https://mathgloss.github.io/MathGloss/context/conservative)
[Q875399](https://www.wikidata.org/wiki/Q875399),[boundary](https://mathgloss.github.io/MathGloss/context/boundary)
[Q3413378](https://www.wikidata.org/wiki/Q3413378),[quasi-isomorphisms](https://mathgloss.github.io/MathGloss/context/quasi-isomorphisms)
[Q5450381](https://www.wikidata.org/wiki/Q5450381),[finitary](https://mathgloss.github.io/MathGloss/context/finitary)
