Wikidata ID,Wikidata Label,BCT Name,BCT Link,Chicago Name,Chicago Link,Clowder Name,Clowder Link,Context Name,Context Link,Mathlib Name,Mathlib Link,nLab Name,nLab Link,PlanetMath Name,PlanetMath Link,Wikipedia Link
Q104962,Hypotenuse,,,,,,,,,,,,,hypotenuse,http://planetmath.org/hypotenuse,https://en.wikipedia.org/wiki/Hypotenuse
Q1049869,Lebesgue's number lemma,,,,,,,,,,,Lebesgue number lemma,https://ncatlab.org/nlab/show/Lebesgue+number+lemma,Lebesgue number lemma,http://planetmath.org/lebesguenumberlemma,https://en.wikipedia.org/wiki/Lebesgue%27s%20number%20lemma
Q1049914,Matrix multiplication,,,matrix multiplication,https://mathgloss.github.io/MathGloss/chicago/matrix_multiplication,,,,,,,,,,,https://en.wikipedia.org/wiki/Matrix%20multiplication
Q1049915,Spinor bundle,,,,,,,,,,,spinor field,https://ncatlab.org/nlab/show/spinor+field,,,https://en.wikipedia.org/wiki/Spinor%20bundle
Q1050120,Linear group,,,,,,,,,,,matrix group,https://ncatlab.org/nlab/show/matrix+group,,,https://en.wikipedia.org/wiki/Linear%20group
Q1050230,Maximum modulus principle,,,,,,,,,maximum modulus principle,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Complex/AbsMax.html#Complex.eventually_eq_of_isLocalMax_norm,,,,,https://en.wikipedia.org/wiki/Maximum%20modulus%20principle
Q105063196,Adams resolution,,,,,,,,,,,Adams resolution,https://ncatlab.org/nlab/show/Adams+resolution,,,https://en.wikipedia.org/wiki/Adams%20resolution
Q105095528,Convergence space,,,,,,,,,,,preconvergence space,https://ncatlab.org/nlab/show/preconvergence+space,,,https://en.wikipedia.org/wiki/Convergence%20space
Q1050972,Edge coloring,,,,,,,,,,,,,Tait coloring,http://planetmath.org/taitcoloring,https://en.wikipedia.org/wiki/Edge%20coloring
Q1051074,Type 0 string,,,,,,,,,,,type 0 string theory,https://ncatlab.org/nlab/show/type+0+string+theory,,,https://en.wikipedia.org/wiki/Type%200%20string%20theory
Q1051404,Cauchy multiplication,,,,,,,,,,,,,Cauchy product,http://planetmath.org/cauchyproduct,https://en.wikipedia.org/wiki/Cauchy%20product
Q1051696,NS5-brane,,,,,,,,,,,NS5-brane,https://ncatlab.org/nlab/show/NS5-brane,,,https://en.wikipedia.org/wiki/NS5-brane
