Wikidata ID,Wikidata Label,BCT Name,BCT Link,Chicago Name,Chicago Link,Clowder Name,Clowder Link,Context Name,Context Link,Mathlib Name,Mathlib Link,nLab Name,nLab Link,PlanetMath Name,PlanetMath Link
Q10567583,small category,small category,https://arxiv.org/pdf/1612.09375#page=83,small category,https://mathgloss.github.io/MathGloss/chicago/small_category,,,essentially small category,https://emilyriehl.github.io/files/context.pdf#page=53,small category,https://leanprover-community.github.io/mathlib4_docs/Mathlib/CategoryTheory/Category/Basic.html#CategoryTheory.SmallCategory,small category,https://ncatlab.org/nlab/show/small+category,small category- alternative,http://planetmath.org/smallcategoryalternative
Q1056761,Significant figure,,,,,,,,,,,,,most significant digit,http://planetmath.org/mostsignificantdigit
Q1056809,Wiener process,,,,,,,,,,,Wiener measure,https://ncatlab.org/nlab/show/Wiener+measure,Wiener measure,http://planetmath.org/wienermeasure
Q1056998,simple random sample,,,,,,,,,,,,,simple random sample,http://planetmath.org/simplerandomsample
Q1057416,Eisenstein's criterion,,,,,,,,,Eisenstein's criterion,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/Polynomial/Eisenstein/Criterion.html#Polynomial.irreducible_of_eisenstein_criterion,,,Eisenstein criterion,http://planetmath.org/eisensteincriterion
Q105759800,Extended natural numbers,,,,,,,,,,,extended natural number,https://ncatlab.org/nlab/show/extended+natural+number,,
Q1057919,Sylow theorems,,,,,,,,,,,,,p-subgroup,http://planetmath.org/psubgroup
Q1057968,finite group,,,,,,,,,,,finite ∞-group,https://ncatlab.org/nlab/show/finite+%E2%88%9E-group,,
Q1058314,diffeomorphism,,,diffeomorphism,https://mathgloss.github.io/MathGloss/chicago/diffeomorphism,,,,,,,diffeomorphism,https://ncatlab.org/nlab/show/diffeomorphism,,
Q10585806,minimum,minimum,https://arxiv.org/pdf/1612.09375#page=118,,,,,,,,,,,,
Q1058662,Darboux's theorem,,,,,,,,,,,Darboux's theorem,https://ncatlab.org/nlab/show/Darboux%27s+theorem,,
Q1058681,differential operator,,,,,,,,,,,symbol of a differential operator,https://ncatlab.org/nlab/show/symbol+of+a+differential+operator,differential operator,http://planetmath.org/differentialoperator
Q1059182,König's lemma,,,,,,,,,,,,,König’s lemma,http://planetmath.org/konigslemma
Q1060137,Hamilton–Jacobi equation,,,,,,,,,,,action functional,https://ncatlab.org/nlab/show/action+functional,,
Q1060144,Gaugino,,,,,,,,,,,gaugino,https://ncatlab.org/nlab/show/gaugino,,
Q1060321,Gaussian integral,,,,,,,,,,,Gaussian integral,https://ncatlab.org/nlab/show/Gaussian+integral,multidimensional Gaussian integral,http://planetmath.org/multidimensionalgaussianintegral
Q1060372,envelope,,,,,,,,,,,,,envelope of a function,http://planetmath.org/envelopeofafunction
Q1060874,plane curve,,,,,,,,,,,,,curvature (plane curve),http://planetmath.org/curvatureplanecurve
Q1061180,Champernowne constant,,,,,,,,,,,,,Champernowne’s constant,http://planetmath.org/champernownesconstant
Q10614739,incenter,,,,,,,,,,,,,incenter,http://planetmath.org/incenter
Q10615255,Incircle and excircles,,,,,,,,,,,,,incircle,http://planetmath.org/incircle
Q10621500,orthocenter,,,,,,,,,,,,,orthocenter,http://planetmath.org/orthocenter
Q1062242,Grothendieck topology,,,,,,,,,,,Grothendieck pretopology,https://ncatlab.org/nlab/show/Grothendieck+pretopology,,
Q106266153,Icon,,,,,,,,,,,icon,https://ncatlab.org/nlab/show/icon,,
Q1062978,characteristic class,,,,,,,,,,,universal characteristic class,https://ncatlab.org/nlab/show/universal+characteristic+class,,
Q106323967,Semisimple,,,complete reducibility,https://mathgloss.github.io/MathGloss/chicago/complete_reducibility,,,,,,,semisimple object,https://ncatlab.org/nlab/show/semisimple+object,completely reducible,http://planetmath.org/completelyreducible
Q1063579,Dirichlet character,,,,,,,,,,,Dirichlet character,https://ncatlab.org/nlab/show/Dirichlet+character,Dirichlet character,http://planetmath.org/dirichletcharacter
Q10635817,Poker,,,,,,,,,,,,,poker,http://planetmath.org/poker
Q106371443,boundary,,,boundary,https://mathgloss.github.io/MathGloss/chicago/boundary,,,,,,,boundary,https://ncatlab.org/nlab/show/boundary,,
Q10638609,Pressure,,,,,,,,,,,pressure,https://ncatlab.org/nlab/show/pressure,,
Q1064218,Schur decomposition,,,,,,,,,,,,,Schur decomposition,http://planetmath.org/schurdecomposition
Q1064276,full and faithful functor,full and faithful functor,https://arxiv.org/pdf/1612.09375#page=42,,,fully-faithful-functors,https://www.clowderproject.com/tag/0129.html,,,,,full and faithful functor,https://ncatlab.org/nlab/show/full+and+faithful+functor,,
