Title,Link,Normalized,Candidates
2T relation,https://ncatlab.org/nlab/show/2T+relation,2trelation,
3-brane in 6d,https://ncatlab.org/nlab/show/3-brane+in+6d,3branein6d,
3-category of fermionic conformal nets,https://ncatlab.org/nlab/show/3-category+of+fermionic+conformal+nets,3categoryoffermionicconformalnets,
3-category with contravariance,https://ncatlab.org/nlab/show/3-category+with+contravariance,3categorywithcontravariance,
3-group,https://ncatlab.org/nlab/show/3-group,3group,Q4634258 (0.867; token_jaccard=0.67) 3-step group [layer4.csv]; Q2207122 (0.867; token_jaccard=0.67) 3-transposition group [layer4.csv]; Q135265559 (0.867; token_jaccard=0.67) group of 3 [layer5.csv]
3-groupoid,https://ncatlab.org/nlab/show/3-groupoid,3groupoid,
3-groupoid of Lie 3-algebra valued forms,https://ncatlab.org/nlab/show/3-groupoid+of+Lie+3-algebra+valued+forms,3groupoidoflie3algebravaluedforms,
3-morphism,https://ncatlab.org/nlab/show/3-morphism,3morphism,
3-poset,https://ncatlab.org/nlab/show/3-poset,3poset,
3-strand-braid-1-SVG,https://ncatlab.org/nlab/show/3-strand-braid-1-SVG,3strandbraid1svg,
3-theory,https://ncatlab.org/nlab/show/3-theory,3theory,
3d Calabi-Yau object,https://ncatlab.org/nlab/show/3d+Calabi-Yau+object,3dcalabiyauobject,
3d gravity and Chern-Simons theory -- references,https://ncatlab.org/nlab/show/3d+gravity+and+Chern-Simons+theory+--+references,3dgravityandchernsimonstheoryreferences,
3d superconformal gauge field theory,https://ncatlab.org/nlab/show/3d+superconformal+gauge+field+theory,3dsuperconformalgaugefieldtheory,
3d toric code,https://ncatlab.org/nlab/show/3d+toric+code,3dtoriccode,
3d-3d correspondence,https://ncatlab.org/nlab/show/3d-3d+correspondence,3d3dcorrespondence,
3x3 lemma,https://ncatlab.org/nlab/show/3x3+lemma,3x3lemma,
4-3-2 8-7-6,https://ncatlab.org/nlab/show/4-3-2+8-7-6,432876,
4-sphere,https://ncatlab.org/nlab/show/4-sphere,4sphere,
4d superconformal gauge field theory,https://ncatlab.org/nlab/show/4d+superconformal+gauge+field+theory,4dsuperconformalgaugefieldtheory,
4d WZW model,https://ncatlab.org/nlab/show/4d+WZW+model,4dwzwmodel,
4T relation,https://ncatlab.org/nlab/show/4T+relation,4trelation,
5-sphere,https://ncatlab.org/nlab/show/5-sphere,5sphere,
7d spherical space forms -- table,https://ncatlab.org/nlab/show/7d+spherical+space+forms+--+table,7dsphericalspaceformstable,
8-manifold,https://ncatlab.org/nlab/show/8-manifold,8manifold,
8-sphere,https://ncatlab.org/nlab/show/8-sphere,8sphere,
?-modality,https://ncatlab.org/nlab/show/%3F-modality,modality,
A Categorical Manifesto,https://ncatlab.org/nlab/show/A+Categorical+Manifesto,acategoricalmanifesto,
A Concise Course in Algebraic Topology,https://ncatlab.org/nlab/show/A+Concise+Course+in+Algebraic+Topology,aconcisecourseinalgebraictopology,
A crash course in topos theory -- The big picture,https://ncatlab.org/nlab/show/A+crash+course+in+topos+theory+--+The+big+picture,acrashcourseintopostheorythebigpicture,
A Cubical Approach to Synthetic Homotopy Theory,https://ncatlab.org/nlab/show/A+Cubical+Approach+to+Synthetic+Homotopy+Theory,acubicalapproachtosynthetichomotopytheory,
