title,link,suggestion
point-set left derived functor,[point-set left derived functor](https://mathgloss.github.io/MathGloss/point-set_left_derived_functor),point-set left derived functor
continuous,[continuous](https://mathgloss.github.io/MathGloss/continuous),continuous function
closure operator,[closure operator](https://mathgloss.github.io/MathGloss/closure_operator),closure operator
legs,[legs](https://mathgloss.github.io/MathGloss/legs),cone
unit object,[unit object](https://mathgloss.github.io/MathGloss/unit_object),unit object
fundamental theorem of Galois theory,[fundamental theorem of Galois theory](https://mathgloss.github.io/MathGloss/fundamental_theorem_of_Galois_theory),fundamental theorem of Galois theory
essentially discrete,[essentially discrete](https://mathgloss.github.io/MathGloss/essentially_discrete),essentially discrete category
transposes,[transposes](https://mathgloss.github.io/MathGloss/transposes),adjunct morphisms
total right derived functor,[total right derived functor](https://mathgloss.github.io/MathGloss/total_right_derived_functor),total right derived functor
counit,[counit](https://mathgloss.github.io/MathGloss/counit),counit of the adjunction
lim sup,[lim sup](https://mathgloss.github.io/MathGloss/lim_sup),lim sup of a sequence
retraction,[retraction](https://mathgloss.github.io/MathGloss/retraction),retraction
loops vdash suspension adjunction,[loops vdash suspension adjunction](https://mathgloss.github.io/MathGloss/loops_vdash_suspension_adjunction),loops vdash suspension adjunction
G-space,[G-space](https://mathgloss.github.io/MathGloss/G-space),G-space
continuity,[continuity](https://mathgloss.github.io/MathGloss/continuity),continuity
terminal coalgebra,[terminal coalgebra](https://mathgloss.github.io/MathGloss/terminal_coalgebra),terminal coalgebra
group ring,[group ring](https://mathgloss.github.io/MathGloss/group_ring),group ring
automorphism,[automorphism](https://mathgloss.github.io/MathGloss/automorphism),automorphism
signature,[signature](https://mathgloss.github.io/MathGloss/signature),signature
monoidal product,[monoidal product](https://mathgloss.github.io/MathGloss/monoidal_product),symmetric monoidal category
universal coefficient theorem,[universal coefficient theorem](https://mathgloss.github.io/MathGloss/universal_coefficient_theorem),Universal coefficient theorem
double dual,[double dual](https://mathgloss.github.io/MathGloss/double_dual),double dual vector space
Coarsest,[Coarsest](https://mathgloss.github.io/MathGloss/coarsest),coarsest topology
free isomorphism,[free isomorphism](https://mathgloss.github.io/MathGloss/free_isomorphism),free isomorphism
equivalence relations,[equivalence relations](https://mathgloss.github.io/MathGloss/equivalence_relations),equivalence relation
free R-module on a single generator,[free R-module on a single generator](https://mathgloss.github.io/MathGloss/free_R-module_on_a_single_generator),free R-module on a single generator
intersection,[intersection](https://mathgloss.github.io/MathGloss/intersection),intersection of subobjects
bifunctor,[bifunctor](https://mathgloss.github.io/MathGloss/bifunctor),bifunctor
atomic,[atomic](https://mathgloss.github.io/MathGloss/atomic),atomic arrow
homotopical,[homotopical](https://mathgloss.github.io/MathGloss/homotopical),homotopical category
groupoid,[groupoid](https://mathgloss.github.io/MathGloss/groupoid),groupoid
natural isomorphism,[natural isomorphism](https://mathgloss.github.io/MathGloss/natural_isomorphism),natural transformation
right Kan extension,[right Kan extension](https://mathgloss.github.io/MathGloss/right_Kan_extension),right Kan extension
objects,[objects](https://mathgloss.github.io/MathGloss/objects),category
constant natural transformation,[constant natural transformation](https://mathgloss.github.io/MathGloss/constant_natural_transformation),constant natural transformation
homotopical category,[homotopical category](https://mathgloss.github.io/MathGloss/homotopical_category),homotopical category
fully faithful,[fully faithful](https://mathgloss.github.io/MathGloss/fully_faithful),fully faithful functor
measurable space,[measurable space](https://mathgloss.github.io/MathGloss/measurable_space),monad
Hilberts Nullstellensatz,[Hilberts Nullstellensatz](https://mathgloss.github.io/MathGloss/Hilberts_Nullstellensatz),Hilbert's Nullstellensatz
image factorization,[image factorization](https://mathgloss.github.io/MathGloss/image_factorization),image factorization
hom-set,[hom-set](https://mathgloss.github.io/MathGloss/hom-set),hom-set
creates,[creates](https://mathgloss.github.io/MathGloss/creates),limit-preserving functor
group extension,[group extension](https://mathgloss.github.io/MathGloss/group_extension),group extension
copowers,[copowers](https://mathgloss.github.io/MathGloss/copowers),copower
diagram,[diagram](https://mathgloss.github.io/MathGloss/diagram),diagram
homology,[homology](https://mathgloss.github.io/MathGloss/homology),homology functor
left action,[left action](https://mathgloss.github.io/MathGloss/left_action),left action
kernel,[kernel](https://mathgloss.github.io/MathGloss/kernel),kernel of a map
species,[species](https://mathgloss.github.io/MathGloss/species),labeled F-structure
equalizer,[equalizer](https://mathgloss.github.io/MathGloss/equalizer),equalizer morphism
p-adic integers,[p-adic integers](https://mathgloss.github.io/MathGloss/p-adic_integers),$p$-adic integers
pointwise left Kan extension,[pointwise left Kan extension](https://mathgloss.github.io/MathGloss/pointwise_left_Kan_extension),pointwise left Kan extension
generalized element,[generalized element](https://mathgloss.github.io/MathGloss/generalized_element),generalized element
ultrafilter,[ultrafilter](https://mathgloss.github.io/MathGloss/ultrafilter),ultrafilter
colimit,[colimit](https://mathgloss.github.io/MathGloss/colimit),colimit
cartesian closed category,[cartesian closed category](https://mathgloss.github.io/MathGloss/cartesian_closed_category),cartesian closed category
filtered,[filtered](https://mathgloss.github.io/MathGloss/filtered),filtered category
orbit category,[orbit category](https://mathgloss.github.io/MathGloss/orbit_category),orbit category
left,[left](https://mathgloss.github.io/MathGloss/left),left derived functor
tensor product bifunctor,[tensor product bifunctor](https://mathgloss.github.io/MathGloss/tensor_product_bifunctor),tensor product bifunctor
tensor product,[tensor product](https://mathgloss.github.io/MathGloss/tensor_product),tensor product
unit interval,[unit interval](https://mathgloss.github.io/MathGloss/unit_interval),unit interval
coalgebras,[coalgebras](https://mathgloss.github.io/MathGloss/coalgebras),coalgebra
point-set right derived functor,[point-set right derived functor](https://mathgloss.github.io/MathGloss/point-set_right_derived_functor),point-set right derived functor
arrows,[arrows](https://mathgloss.github.io/MathGloss/arrows),arrows
comonad,[comonad](https://mathgloss.github.io/MathGloss/comonad),comonad
connected,[connected](https://mathgloss.github.io/MathGloss/connected),connected category
embedding,[embedding](https://mathgloss.github.io/MathGloss/embedding),embedding
terminal,[terminal](https://mathgloss.github.io/MathGloss/terminal),terminal object
2-functor,[2-functor](https://mathgloss.github.io/MathGloss/2-functor),2-functor
monoidal category,[monoidal category](https://mathgloss.github.io/MathGloss/monoidal_category),monoidal category
domain of definition,[domain of definition](https://mathgloss.github.io/MathGloss/domain_of_definition),domain of definition of a partial function
augmented simplicial sets,[augmented simplicial sets](https://mathgloss.github.io/MathGloss/augmented_simplicial_sets),augmented simplicial set
homotopy category of spaces,[homotopy category of spaces](https://mathgloss.github.io/MathGloss/homotopy_category_of_spaces),homotopy category of spaces
cardinality,[cardinality](https://mathgloss.github.io/MathGloss/cardinality),cardinality of a small category
upper adjoint,[upper adjoint](https://mathgloss.github.io/MathGloss/upper_adjoint),upper adjoint
functors represented by,[functors represented by](https://mathgloss.github.io/MathGloss/functors_represented_by),functor represented by an object
locally kappa-presentable,[locally kappa-presentable](https://mathgloss.github.io/MathGloss/locally_kappa-presentable),locally kappa-presentable category
labeled F-structures,[labeled F-structures](https://mathgloss.github.io/MathGloss/labeled_F-structures),labeled F-structures
induction,[induction](https://mathgloss.github.io/MathGloss/induction),induction functor
maybe monad,[maybe monad](https://mathgloss.github.io/MathGloss/maybe_monad),maybe monad
left Kan extension,[left Kan extension](https://mathgloss.github.io/MathGloss/left_Kan_extension),left Kan extension
bilinear map,[bilinear map](https://mathgloss.github.io/MathGloss/bilinear_map),bilinear map
reflect isomorphisms,[reflect isomorphisms](https://mathgloss.github.io/MathGloss/reflect_isomorphisms),reflection of isomorphisms
domain,[domain](https://mathgloss.github.io/MathGloss/domain),domain morphism
sequential colimit,[sequential colimit](https://mathgloss.github.io/MathGloss/sequential_colimit),sequential colimit
epic,[epic](https://mathgloss.github.io/MathGloss/epic),epic morphism
kernel pair,[kernel pair](https://mathgloss.github.io/MathGloss/kernel_pair),kernel pair
homotopy category,[homotopy category](https://mathgloss.github.io/MathGloss/homotopy_category),homotopy category
